OLD_TICKER,NEW_TICKER,CHANGE_DATE
FRL,FEL,13-May-16
FRLDVR,FELDVR,13-May-16
PANTALOONR,FRL,11-Apr-13
PRETAILDVR,FRLDVR,11-Apr-13
AGRE,FMNL,06-Mar-12
KEERTI,GTECJAINX,12-Sep-23
STAMPEDE,GATECH,14-Jul-23
SCAPDVR,GATECHDVR,08-Aug-23
MIL,GBGLOBAL,09-Sep-19
ABBALPO,APIL,19-May-03
AIL,GEPIL,14-Sep-16
APIL,AIL,11-Jul-12
GECALSTHOM,AREVA,30-Jun-08
ALSTOMT&D,GET&D,14-Sep-16
AREVA,AREVAT&D,14-Jul-08
AREVAT&D,ALSTOMT&D,12-Mar-12
GET&D,GVT&D,05-Nov-24
GUJFLUORO,GFLLIMITED,25-Jul-19
GMRINFRA,GMRAIRPORT,11-Dec-24
GMRVASAVI,GMRINDSTRS,28-Apr-06
GULFCORP,GOCLCORP,10-Nov-15
SAHPETRO,GULFPETRO,06-May-15
NOVA,GSLNOVA,18-Dec-09
GSSAMERICA,GSS,24-Aug-11
GLOBALTELE,GTL,14-Jan-05
GTNTEXT,GTNIND,24-Feb-06
4THDIM,GVPTECH,31-Jul-23
GANHSGFIN,GANESHHOUC,02-Mar-07
GARWALLROP,GARFIBRES,13-Aug-18
GWALCHEM,GEECEE,05-Mar-10
GENUSOVERE,GENUSPOWER,14-Jan-08
GEOINFO,GEODESIC,06-Oct-08
GEOJIT,GEOJITBNPP,05-Jun-09
GEOJITBNPP,GEOJITFSL,02-Mar-17
INDSHAVING,GILLETTE,04-Apr-06
SMITKLBECH,GSKCONS,29-Jul-03
GARWOFFS,GLOBOFFS,07-Jun-11
PARADYNE,GLODYNE,19-Nov-07
GTCIND,GOLDENTOBC,29-Sep-08
SONAHISONA,GOLDKART,01-Dec-23
692MH2039,692GS2039,25-Nov-24
CARBEVFLOW,GRAPHITE,13-Jan-03
GREAVES,GREAVESCOT,09-Sep-04
MITTALLAMI,GREENPLY,09-Dec-04
GROWEV,GROWWEV,23-Aug-24
GUJAPOLIND,GUJAPOLLO,06-Jul-07
GUJAPOLEQP,GUJAPOLIND,04-Jun-07
IDLCHEM,GULFOILCOR,08-Nov-07
HBLPOWER,HBLENGINE,23-Dec-24
HCL-HP,HCL-INSYS,12-Apr-00
HDFCMFGETF,HDFCGOLD,16-Jun-23
HDFCNIFETF,HDFCNIFTY,16-Jun-23
HBANKETF,HDFCNIFBAN,16-Jun-23
HDFCSENETF,HDFCSENSEX,16-Jun-23
HYDRBADIND,HIL,26-Oct-12
HOTELEELA,HLVLTD,08-Jan-20
INVSTSMART,HINVDIR,07-Sep-09
HINDSANIT,HSIL,27-Apr-09
HSIL,AGI,11-May-22
TMRVL,HEADSUP,18-Jul-22
MYSORECEM,HEIDELBERG,15-May-09
HEROHONDA,HEROMOTOCO,08-Aug-11
CLNINDIA,HEUBACHIND,10-Mar-23
HCIL,HSCL,16-Aug-16
HIMADCHEM,HCIL,02-Mar-07
HINDALC0,HINDALCO,27-Aug-07
ENNOREFO,HINDUJAFO,24-Mar-08
HGSL,HGS,30-Nov-11
HTMTGLOBAL,HGSL,23-Jan-09
HINDUJAFIN,HTMT,13-Jan-03
HINDCONS,HCC,10-Jul-06
HINDLEVER,HINDUNILVR,19-Jul-07
SHIL,HINDWAREAP,21-Jun-22
HITECHPLAS,HITECHCORP,23-May-17
